,day,city,precipitation
630,2019-09-23,SEA,0.32
631,2019-09-24,SEA,0.16
632,2019-09-25,SEA,0.0
633,2019-09-26,SEA,0.04
634,2019-09-27,SEA,0.31
635,2019-09-28,SEA,0.23
636,2019-09-29,SEA,0.25
637,2019-09-30,SEA,0.03
638,2019-10-01,SEA,0.0
639,2019-10-02,SEA,0.0
640,2019-10-03,SEA,0.02
641,2019-10-04,SEA,0.08
642,2019-10-05,SEA,0.01
643,2019-10-06,SEA,0.0
644,2019-10-07,SEA,0.0
645,2019-10-08,SEA,0.0
646,2019-10-09,SEA,0.2
647,2019-10-10,SEA,0.0
648,2019-10-11,SEA,0.0
649,2019-10-12,SEA,0.0
650,2019-10-13,SEA,0.0
651,2019-10-14,SEA,0.0
652,2019-10-15,SEA,0.0
653,2019-10-16,SEA,0.13
654,2019-10-17,SEA,0.26
655,2019-10-18,SEA,0.11
656,2019-10-19,SEA,0.96
657,2019-10-20,SEA,0.18
658,2019-10-21,SEA,0.27
659,2019-10-22,SEA,0.22
660,2019-10-23,SEA,0.06
661,2019-10-24,SEA,0.02
662,2019-10-25,SEA,0.0
663,2019-10-26,SEA,0.31
664,2019-10-27,SEA,0.03
665,2019-10-28,SEA,0.0
666,2019-10-29,SEA,0.0
667,2019-10-30,SEA,0.0
668,2019-10-31,SEA,0.0
669,2019-11-01,SEA,0.0
670,2019-11-02,SEA,0.0
671,2019-11-03,SEA,0.0
672,2019-11-04,SEA,0.0
673,2019-11-05,SEA,0.0
674,2019-11-06,SEA,0.0
675,2019-11-07,SEA,0.0
676,2019-11-08,SEA,0.0
677,2019-11-09,SEA,0.1
678,2019-11-10,SEA,0.21
679,2019-11-11,SEA,0.0
680,2019-11-12,SEA,0.25
681,2019-11-13,SEA,0.04
682,2019-11-14,SEA,0.0
683,2019-11-15,SEA,0.19
684,2019-11-16,SEA,0.02
685,2019-11-17,SEA,0.11
686,2019-11-18,SEA,0.22
687,2019-11-19,SEA,0.73
688,2019-11-20,SEA,0.03
689,2019-11-21,SEA,0.0
690,2019-11-22,SEA,0.0
691,2019-11-23,SEA,0.5725
692,2019-11-24,SEA,0.07500000000000001
693,2019-11-25,SEA,0.1275
694,2019-11-26,SEA,0.4325
695,2019-11-27,SEA,0.47500000000000003
696,2019-11-28,SEA,0.2425
697,2019-11-29,SEA,0.1
698,2019-11-30,SEA,0.34
699,2019-12-01,SEA,0.0
700,2019-12-02,SEA,0.03
701,2019-12-03,SEA,0.0
702,2019-12-04,SEA,0.02
703,2019-12-05,SEA,0.03
704,2019-12-06,SEA,0.0
705,2019-12-07,SEA,0.3
706,2019-12-08,SEA,0.17
707,2019-12-09,SEA,0.02
708,2019-12-10,SEA,0.0
709,2019-12-11,SEA,0.17
710,2019-12-12,SEA,0.43
711,2019-12-13,SEA,0.09
712,2019-12-14,SEA,0.03
713,2019-12-15,SEA,0.36
714,2019-12-16,SEA,0.08
715,2019-12-17,SEA,0.02
716,2019-12-18,SEA,0.0
717,2019-12-19,SEA,0.35
718,2019-12-20,SEA,1.9
719,2019-12-21,SEA,2.6
720,2019-12-22,SEA,0.33
721,2019-12-23,SEA,0.4
722,2019-12-24,SEA,0.05
723,2019-12-25,SEA,0.02
724,2019-12-26,SEA,0.0
725,2019-12-27,SEA,0.03
726,2019-12-28,SEA,0.0
727,2019-12-29,SEA,0.02
728,2019-12-30,SEA,0.07
729,2019-12-31,SEA,0.03
730,2020-01-01,SEA,0.15
731,2020-01-02,SEA,0.33
732,2020-01-03,SEA,0.19
733,2020-01-04,SEA,0.37
734,2020-01-05,SEA,0.24666666666666667
735,2020-01-06,SEA,0.8133333333333334
736,2020-01-07,SEA,0.48
737,2020-01-08,SEA,0.05
738,2020-01-09,SEA,0.04
739,2020-01-10,SEA,0.15
740,2020-01-11,SEA,0.43
741,2020-01-12,SEA,0.12
742,2020-01-13,SEA,0.11
743,2020-01-14,SEA,0.19
744,2020-01-15,SEA,0.01
745,2020-01-16,SEA,0.07
746,2020-01-17,SEA,0.01
747,2020-01-18,SEA,0.45
748,2020-01-19,SEA,0.04
749,2020-01-20,SEA,0.08
750,2020-01-21,SEA,0.22
751,2020-01-22,SEA,0.76
752,2020-01-23,SEA,0.45
753,2020-01-24,SEA,0.8
754,2020-01-25,SEA,0.4
755,2020-01-26,SEA,0.26
756,2020-01-27,SEA,0.17
757,2020-01-28,SEA,0.98
758,2020-01-29,SEA,0.05
759,2020-01-30,SEA,0.2
760,2020-01-31,SEA,0.22
761,2020-02-01,SEA,1.44
762,2020-02-02,SEA,0.01
763,2020-02-03,SEA,0.03
764,2020-02-04,SEA,0.01
765,2020-02-05,SEA,0.69
766,2020-02-06,SEA,1.34
767,2020-02-07,SEA,0.58
768,2020-02-08,SEA,0.2
769,2020-02-09,SEA,0.03
770,2020-02-10,SEA,0.0
771,2020-02-11,SEA,0.0
772,2020-02-12,SEA,0.03
773,2020-02-13,SEA,0.0
774,2020-02-14,SEA,0.1
775,2020-02-15,SEA,0.07
776,2020-02-16,SEA,0.056666666666666664
777,2020-02-17,SEA,0.1366666666666667
778,2020-02-18,SEA,0.006666666666666667
779,2020-02-19,SEA,0.06
780,2020-02-20,SEA,0.20500000000000002
781,2020-02-21,SEA,0.11
782,2020-02-22,SEA,0.03
783,2020-02-23,SEA,0.0
784,2020-02-24,SEA,0.095
785,2020-02-25,SEA,0.07
786,2020-02-26,SEA,0.005
787,2020-02-27,SEA,0.01
788,2020-02-28,SEA,0.0
789,2020-02-29,SEA,0.12
790,2020-03-01,SEA,0.01
791,2020-03-02,SEA,0.02
792,2020-03-03,SEA,0.12
793,2020-03-04,SEA,0.01
794,2020-03-05,SEA,0.0
795,2020-03-06,SEA,0.71
796,2020-03-07,SEA,0.12
797,2020-03-08,SEA,0.23
798,2020-03-09,SEA,0.02
799,2020-03-10,SEA,0.0
800,2020-03-11,SEA,0.07
801,2020-03-12,SEA,0.02
802,2020-03-13,SEA,0.1
803,2020-03-14,SEA,0.29
804,2020-03-15,SEA,0.0
